City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
257,Carnarvon,AU,75.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
258,Montepuez,MZ,67.93,scattered clouds,-13.1256,38.9997,PembaAparthotel
259,Natal,BR,82.62,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
260,Sfantu Gheorghe,RO,39.92,overcast clouds,45.8667,25.7833,Hotel Park
261,Naze,JP,58.12,light rain,28.3667,129.4833,Shishime Hotel
262,General Roca,AR,72.63,light rain,-39.0333,-67.5833,Hotel El Recreo
263,Killybegs,IE,40.48,broken clouds,54.6333,-8.45,Tara Hotel
265,Bam,IR,68.49,clear sky,29.106,58.357,Bam Tourist Hotel
266,South Lake Tahoe,US,61.79,clear sky,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
267,Caravelas,BR,76.24,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
268,George,ZA,58.55,overcast clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
269,Castro,BR,58.84,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
270,Trincomalee,LK,79.07,overcast clouds,8.5711,81.2335,Welcombe Hotel
271,Tula,RU,31.95,light snow,54.2044,37.6111,София
272,Semey,KZ,32.22,clear sky,50.4111,80.2275,Grand Hotel Semey
273,Mangrol,IN,75.99,clear sky,21.1167,70.1167,Hotel The Royal Honours
274,Plettenberg Bay,ZA,59.97,light rain,-34.0527,23.3716,Thanda Vista B&B
275,Baraki Barak,AF,49.77,clear sky,33.9675,68.9486,برکی برک
276,Ternate,ID,81.23,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
277,Koroni,GR,53.31,scattered clouds,36.8,21.95,Apartments Xenios Zeus 1
278,Manadhoo,MV,82.44,clear sky,5.7667,73.3833,Bon Abri maldives
279,Gubkinskiy,RU,6.62,overcast clouds,64.434,76.5026,MonarcH
280,Ukiah,US,79.43,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
281,Najran,SA,61.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
282,Krasnyy Profintern,RU,30.22,snow,57.7446,40.435,Парк-отель «Замок Понизовкина»
283,Contai,IN,78.24,few clouds,21.7786,87.7536,PATHFINDER
284,Rocha,UY,55.36,clear sky,-34.4833,-54.3333,Hotel Arrarte
285,Antalaha,MG,73.8,clear sky,-14.9003,50.2788,Hotel Vitasoa
286,Chapais,CA,33.58,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
287,Rojhan,PK,82.06,clear sky,28.6868,69.9534,Nawab Imam Bux Khan Bangla
288,Port-Cartier,CA,34.02,scattered clouds,50.0334,-66.8654,Le Q'Artier
289,Lompoc,US,66.78,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
290,Smidovich,RU,33.62,overcast clouds,48.6,133.8167,Gostinnitsa
291,Kupang,ID,79.95,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
292,Mitsamiouli,KM,80.85,clear sky,-11.3847,43.2844,Foyer ADM
293,Diffa,NE,84.13,broken clouds,13.3154,12.6113,ProDAF/Diffa
294,Otradnoye,RU,27.03,clear sky,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
295,Ca Mau,VN,74.5,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
297,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
298,Pak Phanang,TH,80.62,light rain,8.3511,100.202,Green Park Inn Hotel
299,Matagami,CA,32.11,overcast clouds,49.7502,-77.6328,Hôtel Matagami
300,Iquitos,PE,71.64,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
302,Teocaltiche,MX,89.11,clear sky,21.4333,-102.5833,Hotel los Caxcanes
303,Grants Pass,US,69.55,clear sky,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
304,Torrijos,ES,40.06,clear sky,39.9819,-4.2835,Hotel La Salve
305,Apatou,GF,73.63,overcast clouds,5.155,-54.3472,Yoto quensha
306,Khani,GE,44.17,few clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
