City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Kruisfontein,ZA,-34.0033,24.7314,60.89,93,91,6.82,light rain
207,Shenjiamen,CN,29.9576,122.298,51.03,57,33,10.87,scattered clouds
208,Tha Chang,TH,9.2642,99.1922,81.21,94,40,8.05,scattered clouds
209,Bandarbeyla,SO,9.4942,50.8122,77.13,85,34,2.73,scattered clouds
210,Tres Arroyos,AR,-38.3739,-60.2798,60.93,47,0,17.25,clear sky
211,Barcelos,PT,41.5388,-8.6151,49.68,65,0,7.38,clear sky
212,Dhar,IN,22.6,75.3,75.92,21,4,7.58,clear sky
213,Dulce Nombre De Culmi,HN,15.1,-85.5333,93.43,55,6,5.55,clear sky
214,Bukachacha,RU,52.9833,116.9167,38.73,63,100,9.31,overcast clouds
215,Faanui,PF,-16.4833,-151.75,82.26,71,73,6.29,broken clouds
216,Flin Flon,CA,54.7682,-101.865,30.65,73,96,4.0,overcast clouds
217,Belaya Kholunitsa,RU,58.84,50.8528,27.93,94,100,10.96,light snow
218,Cairns,AU,-16.9167,145.7667,89.11,62,79,6.91,broken clouds
219,Salinopolis,BR,-0.6136,-47.3561,78.78,86,70,8.14,broken clouds
220,Port Elizabeth,ZA,-33.918,25.5701,63.32,99,100,8.05,moderate rain
221,Vicuna,CL,-30.0319,-70.7081,68.77,59,2,1.45,clear sky
222,Belaya Gora,RU,68.5333,146.4167,0.9,90,100,3.44,overcast clouds
223,Oyama,JP,36.3,139.8,50.59,54,100,4.12,overcast clouds
224,Ladario,BR,-19.0047,-57.6017,72.54,73,30,3.15,scattered clouds
225,Miguel Pereira,BR,-22.4539,-43.4689,69.73,100,96,2.84,overcast clouds
226,Colares,PT,38.7992,-9.4469,53.76,51,99,24.0,overcast clouds
227,Andapa,MG,-14.65,49.65,66.74,97,28,3.24,scattered clouds
228,Boa Vista,BR,2.8197,-60.6733,87.78,51,40,6.91,scattered clouds
229,Mana,GF,5.6592,-53.7767,77.81,87,85,11.07,overcast clouds
230,Saskylakh,RU,71.9167,114.0833,-0.2,97,98,9.4,overcast clouds
231,Chiang Rai,TH,19.9167,99.9167,66.99,73,75,8.05,broken clouds
232,Chiang Khong,TH,20.2613,100.4046,60.33,75,8,3.11,clear sky
233,Cotonou,BJ,6.3654,2.4183,84.18,79,40,12.66,scattered clouds
234,Mersing,MY,2.4312,103.8405,73.31,94,40,5.75,moderate rain
235,Puerto Cabezas,NI,14.0351,-83.3888,77.34,81,22,7.54,few clouds
236,Yerbogachen,RU,61.2767,108.0108,11.55,93,99,9.42,overcast clouds
237,Mocajuba,BR,-2.5842,-49.5072,75.11,97,87,2.53,overcast clouds
238,Marzuq,YE,14.4,46.4667,68.32,27,1,4.83,clear sky
239,Ende,ID,-8.8432,121.6623,80.58,80,47,0.38,scattered clouds
240,Riviere-Au-Renard,CA,48.9957,-64.3971,35.89,79,99,29.08,overcast clouds
241,Biak,ID,-0.9131,122.8766,78.4,82,100,3.51,overcast clouds
242,San Juan,AR,-31.5375,-68.5364,67.98,23,0,8.14,clear sky
243,Omboue,GA,-1.5746,9.2618,73.42,94,94,3.22,overcast clouds
244,Evensk,RU,61.95,159.2333,24.04,74,95,6.98,overcast clouds
245,Wanning,CN,18.8003,110.3967,63.05,81,100,15.19,overcast clouds
246,Broken Hill,AU,-31.95,141.4333,67.71,34,34,1.14,scattered clouds
247,Yulara,AU,-25.2406,130.9889,71.44,28,0,11.5,clear sky
248,Grand Baie,MU,-20.0182,57.5802,76.44,90,100,7.0,overcast clouds
249,Aguilas,ES,37.4063,-1.5829,52.0,45,93,6.78,overcast clouds
250,Kosa,RU,59.9445,54.9977,24.85,90,100,9.28,overcast clouds
251,Svetlogorsk,BY,52.6333,29.7333,30.74,97,100,11.41,light snow
252,Narasannapeta,IN,18.4167,84.05,77.63,93,41,9.4,scattered clouds
253,Raduzhnyy,RU,62.0961,77.475,-0.65,100,90,4.61,overcast clouds
254,Tari,NG,12.4086,4.4914,85.62,8,98,5.59,overcast clouds
255,Touros,BR,-5.1989,-35.4608,77.61,88,79,9.31,broken clouds
